start,end,q_date,region,q_region,district,q_district,municipality,q_municipality,city,q_neighbourhood,q_shop_type,trader,q_sell_salt,q_salt_available_in_shop,q_salt_quantity1,q_salt_quantity2,q_salt_price,q_salt_price_per_kilo,q_salt_brand,q_sell_sugar,q_sugar_available_in_shop,q_sugar_quantity1,q_sugar_quantity2,q_sugar_price,q_sugar_price_per_kilo,q_sugar_brand,q_sell_flour,q_flour_available_in_shop,q_flour_quantity1,q_flour_quantity2,q_flour_price,q_flour_price_per_kilo,q_flour_brand,q_sell_rice,q_rice_available_in_shop,q_rice_quantity1,q_rice_quantity2,q_rice_price,q_rice_price_per_kilo,q_rice_brand,q_sell_pasta,q_pasta_available_in_shop,q_pasta_quantity1,q_pasta_quantity2,q_pasta_price,q_pasta_price_per_500g,q_pasta_brand,q_sell_couscous,q_couscous_available_in_shop,q_couscous_quantity1,q_couscous_quantity2,q_couscous_price,q_couscous_price_per_kilo,q_couscous_brand,q_sell_tomatop,q_tomatop_available_in_shop,q_tomatop_quantity1,q_tomatop_quantity2,q_tomatop_price,q_tomatop_price_per_400g,q_tomatop_brand,q_sell_chickpeas,q_chickpeas_available_in_shop,q_chickpeas_quantity1,q_chickpeas_quantity2,q_chickpeas_price,q_chickpeas_price_per_400g,q_chickpeas_brand,q_sell_beans,q_beans_available_in_shop,q_beans_quantity1,q_beans_quantity2,q_beans_price,q_beans_price_per_400g,q_beans_brand,q_sell_cmilk,q_cmilk_available_in_shop,q_cmilk_quantity1,q_cmilk_quantity2,q_cmilk_price,q_cmilk_price_per_200ml,q_cmilk_brand,q_sell_milk,q_milk_available_in_shop,q_milk_quantity1,q_milk_quantity2,q_milk_price,q_milk_price_per_liter,q_milk_brand,q_sell_babymilk,q_babymilk_available_in_shop,q_babymilk_quantity1,q_babymilk_quantity2,q_babymilk_price,q_babymilk_price_per_400g,q_babymilk_brand,q_sell_gtea,q_gtea_available_in_shop,q_gtea_quantity1,q_gtea_quantity2,q_gtea_price,q_gtea_price_per_250g,q_gtea_brand,q_sell_btea,q_btea_available_in_shop,q_btea_quantity1,q_btea_quantity2,q_btea_price,q_btea_price_per_250g,q_btea_brand,q_sell_oil,q_oil_available_in_shop,q_oil_quantity1,q_oil_quantity2,q_oil_price,q_oil_price_per_liter,q_oil_brand,q_sell_tuna,q_tuna_available_in_shop,q_tuna_quantity1,q_tuna_quantity2,q_tuna_price,q_tuna_price_per_200g,q_tuna_brand,q_sell_eggs,q_eggs_available_in_shop,q_eggs_quantity1,q_eggs_quantity2,q_eggs_price,q_eggs_price_per_30eggs,q_eggs_brand,q_sell_chicken,q_chicken_available_in_shop,q_chicken_quantity1,q_chicken_quantity2,q_chicken_price,q_chicken_price_per_kilo,q_chicken_brand,q_sell_lamb,q_lamb_available_in_shop,q_lamb_quantity1,q_lamb_quantity2,q_lamb_price,q_lamb_price_per_kilo,q_lamb_brand,q_sell_bread,q_bread_available_in_shop,q_bread_quantity1,q_bread_quantity2,q_bread_price,q_bread_price_per_5medium_pieces,q_sell_tomatoes,q_tomatoes_available_in_shop,q_tomatoes_quantity1,q_tomatoes_quantity2,q_tomatoes_price,q_tomatoes_price_per_kilo,q_sell_onions,q_onions_available_in_shop,q_onions_quantity1,q_onions_quantity2,q_onions_price,q_onions_price_per_kilo,q_sell_pepper,q_pepper_available_in_shop,q_pepper_quantity1,q_pepper_quantity2,q_pepper_price,q_pepper_price_per_kilo,q_sell_potatoes,q_potatoes_available_in_shop,q_potatoes_quantity1,q_potatoes_quantity2,q_potatoes_price,q_potatoes_price_per_kilo,q_sell_hwsoap,q_hwsoap_available_in_shop,q_hwsoap_quantity1,q_hwsoap_quantity2,q_hwsoap_price,q_hwsoap_price_per_piece,q_hwsoap_brand,q_sell_lsoap,q_lsoap_available_in_shop,q_lsoap_quantity1,q_lsoap_quantity2,q_lsoap_price,q_lsoap_price_per_kilo,q_lsoap_brand,q_sell_shampoo,q_shampoo_available_in_shop,q_shampoo_quantity1,q_shampoo_quantity2,q_shampoo_price,q_shampoo_price_per_250ml,q_shampoo_brand,q_sell_dsoap,q_dsoap_available_in_shop,q_dsoap_quantity1,q_dsoap_quantity2,q_dsoap_price,q_dsoap_price_per_liter,q_dsoap_brand,q_sell_toothpaste,q_toothpaste_available_in_shop,q_toothpaste_quantity1,q_toothpaste_quantity2,q_toothpaste_price,q_toothpaste_price_per_tube,q_toothpaste_brand,q_sell_toothbrush,q_toothbrush_available_in_shop,q_toothbrush_quantity1,q_toothbrush_quantity2,q_toothbrush_price,q_toothbrush_price_per_brush,q_toothbrush_brand,q_sell_spads,q_spads_available_in_shop,q_spads_quantity1,q_spads_quantity2,q_spads_price,q_spads_price_per_10pads,q_spads_brand,q_sell_diapers,q_diapers_available_in_shop,q_diapers_quantity1,q_diapers_quantity2,q_diapers_price,q_diapers_price_per_30diapers,q_diapers_brand,__version__,_id,_uuid,_submission_time,_index
2017-07-08T21:24:14.867+02,2017-07-09T19:03:10.204+02,2017-07-08,East,LBY01,Derna,LBY0101,Derna,LBY010102,Derna,Sheiha,general_store,NA,yes,yes,no,0.25,0.5,2,No brand,yes,yes,yes,NA,2.5,2.5,Crystal,yes,yes,yes,NA,1.25,1.3,Elsafwa,yes,yes,yes,NA,3.25,3.3,Wassin,yes,yes,yes,NA,1.25,1.3,Napoli,yes,yes,yes,NA,3.5,3.5,Diari,yes,yes,yes,NA,1.5,1.5,Massod,yes,yes,yes,NA,3,3,Top garden,yes,yes,yes,NA,2.5,2.5,Top gardin,yes,yes,no,384.0,3.5,1.8,Judi,yes,yes,yes,NA,4.0,4,Judi,yes,yes,yes,NA,15.0,15,Swis lac,yes,yes,yes,NA,6.0,6,AlNaji,yes,yes,yes,NA,7.25,7.3,Alzahra,yes,yes,yes,NA,3.5,3.5,Marwa,yes,yes,no,140.0,3.5,5,Rian,yes,yes,yes,NA,7.0,7,No brand,yes,yes,no,1.9,22.0,11.6,Turkish,yes,yes,no,0.5,15.5,31,Locally meat,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.25,1.3,yes,yes,yes,NA,2.5,2.5,yes,yes,yes,NA,3.5,3.5,yes,yes,yes,NA,3.5,3.5,yes,yes,yes,NA,1.0,1,Fax,yes,yes,no,0.6,6.0,10,Oxi,yes,yes,no,600.0,9.0,3.8,Hope,yes,yes,yes,NA,2.5,2.5,Alnasim,yes,yes,yes,NA,5.0,5,Signal,yes,yes,yes,NA,1.5,1.5,Super classic,yes,yes,yes,NA,2.5,2.5,Lilas,yes,yes,no,45,20.0,13.3,Conbebe,vYh2dAEbuPAT4DaeKbjRK4,10534576,9b040302-87ef-4612-aca3-f70ba9c8b7e8,2017-07-10T00:16:31,69
2017-07-12T10:07:18.431+02,2017-07-13T23:40:26.005+02,2017-07-12,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,700,central_market,B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,9.0,9,لاشي,yes,yes,yes,NA,26.5,26.5,لاشي,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,2.0,2,yes,yes,yes,NA,2.0,2,yes,yes,yes,NA,2.25,2.3,yes,yes,yes,NA,2.25,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10666136,4d0d2e37-9d62-4a67-ae92-c3335ee04420,2017-07-14T03:12:10,35
2017-07-12T10:18:49.481+02,2017-07-13T23:37:14.997+02,2017-07-12,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,الشعبية,central_market,C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,9.5,9.5,لاشي,yes,yes,yes,NA,26.0,26,لاشي,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.75,1.8,yes,yes,yes,NA,1.5,1.5,yes,yes,yes,NA,2.25,2.3,yes,yes,yes,NA,3.0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10666137,cebb0b00-8db8-41b0-b9bd-a33dee450336,2017-07-14T03:12:12,36
2017-07-12T09:58:25.914+02,2017-07-13T23:43:17.566+02,2017-07-06,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,رقم 2,central_market,D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,9.75,9.8,لاشي,yes,yes,yes,NA,27.0,27,لاشي,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.5,1.5,yes,yes,yes,NA,1.5,1.5,yes,yes,yes,NA,2.25,2.3,yes,yes,yes,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10666135,a63892a2-3536-41c0-8ee0-38b90111a310,2017-07-14T03:12:09,34
2017-07-12T09:45:28.477+02,2017-07-13T23:33:02.963+02,2017-07-12,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,رقم 3,central_market,E1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,9.5,9.5,لاشي,yes,yes,yes,NA,27.0,27,لاشي,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.5,1.5,yes,yes,yes,NA,1.5,1.5,yes,yes,yes,NA,2.5,2.5,yes,yes,yes,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10666133,209a0765-4d27-4148-a92f-d4c658801631,2017-07-14T03:12:08,33
2017-07-16T13:45:23.792+02,2017-07-17T00:01:53.901+02,2017-07-16,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,رقم 3,central_market,E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.25,1.3,yes,yes,yes,NA,3.0,3,yes,yes,yes,NA,3.0,3,yes,yes,yes,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10737526,ff92d471-9638-43dc-9274-2d595312115b,2017-07-17T08:33:34,18
2017-07-16T13:47:50.951+02,2017-07-16T23:59:51.514+02,2017-07-16,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,رقم 3,central_market,E3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,yes,yes,yes,NA,2.5,2.5,yes,yes,yes,NA,3.0,3,yes,yes,yes,NA,1.75,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10737536,779db6ca-02f6-4977-9742-d3fb517d83a2,2017-07-17T08:33:51,19
2017-07-16T13:49:03.637+02,2017-07-16T23:57:11.481+02,2017-07-16,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,رقم 3,central_market,E4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,yes,yes,yes,NA,2.0,2,yes,yes,yes,NA,3.0,3,yes,yes,yes,NA,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10737545,5a60db9b-3014-46b1-8e98-47ee4eeffee5,2017-07-17T08:34:04,20
2017-07-15T19:33:19.843+02,2017-07-17T00:13:49.406+02,2017-07-15,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,ال 700,general_store,NA,yes,yes,yes,NA,1.0,1,لا شي,yes,yes,yes,NA,3.0,3,الشمال,yes,yes,yes,NA,1.5,1.5,الرفيع,yes,yes,yes,NA,3.0,3,الاسرة,yes,yes,yes,NA,1.5,1.5,الاميرة,yes,yes,yes,NA,2.0,2,رندا,yes,yes,yes,NA,1.25,1.3,برندا ايطالي,yes,yes,yes,NA,2.5,2.5,لورد فود,yes,yes,yes,NA,2.5,2.5,لورد فود,yes,yes,yes,NA,2.0,2,جودي,yes,yes,yes,NA,5.0,5,جودي,yes,yes,yes,NA,20.0,20,بيبيلاك,yes,yes,yes,NA,5.5,5.5,جوهرة,yes,yes,yes,NA,8.0,8,الزهرة,yes,yes,yes,NA,3.0,3,المنارة,yes,yes,yes,NA,3.75,3.8,بيتي,yes,yes,yes,NA,6.5,6.5,لاشي,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,no,6,1.0,0.8,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,واش,yes,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,7.0,7,بلاس,yes,yes,yes,NA,4.0,4,بريل,yes,yes,no,60.0,3.5,5.8,كريست,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,3.0,3,نانا,yes,yes,yes,NA,17.0,17,المنصوري,vYh2dAEbuPAT4DaeKbjRK4,10737507,e17b27c1-5b2a-4f08-98bc-1bbf5fb9a091,2017-07-17T08:32:51,17
2017-07-15T19:08:50.588+02,2017-07-17T00:36:30.667+02,2017-07-15,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,رقم 2,general_store,NA,yes,yes,yes,NA,1.0,1,لا شي,yes,yes,yes,NA,3.0,3,الشمال,yes,yes,yes,NA,1.25,1.3,الرفيع,yes,yes,yes,NA,3.0,3,الاسرة,yes,yes,yes,NA,1.5,1.5,الاميرة,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.25,1.3,برندا ايطالي,yes,yes,yes,NA,2.5,2.5,لارا,yes,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,2.0,2,جودي,yes,yes,yes,NA,5.25,5.3,جودي,yes,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,5.0,5,جوهرة,yes,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,3.0,3,المنارة,yes,yes,yes,NA,4.0,4,بيتي,yes,yes,yes,NA,6.0,6,لا شي,yes,yes,yes,NA,8.5,8.5,لا شي,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,واش,yes,yes,yes,NA,10.0,10,تايد,yes,yes,yes,NA,7.0,7,بلاس,yes,yes,yes,NA,4.0,4,بريل,yes,yes,yes,NA,8.0,8,كريست,yes,yes,yes,NA,1.5,1.5,لاشي,yes,yes,yes,NA,3.0,3,نانا,yes,yes,yes,NA,20.0,20,بيدوس,vYh2dAEbuPAT4DaeKbjRK4,10737497,fddb4e55-26bc-42b1-9f4f-672bdb6d2e83,2017-07-17T08:32:15,16
2017-07-15T17:08:46.012+02,2017-07-16T23:53:44.601+02,2017-07-15,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,رقم 3,general_store,NA,yes,yes,yes,NA,1.0,1,لاشي,yes,yes,yes,NA,3.0,3,الاسرة,yes,yes,yes,NA,1.25,1.3,الرفيع,yes,yes,yes,NA,3.0,3,زاد خير,yes,yes,yes,NA,1.5,1.5,الاميرة,yes,yes,yes,NA,4.0,4,دياري,yes,yes,yes,NA,1.25,1.3,برندا الايطالي,yes,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,2.5,2.5,لورد فود,yes,yes,yes,NA,2.0,2,جودي,yes,yes,yes,NA,5.25,5.3,جودي,yes,yes,yes,NA,20.5,20.5,بيبيلاك,yes,yes,yes,NA,5.0,5,جوهرة,yes,yes,yes,NA,7.5,7.5,الزهرة,yes,yes,yes,NA,3.0,3,المنارة,yes,yes,yes,NA,3.0,3,الباهي,yes,yes,yes,NA,6.0,6,لاشي,yes,yes,yes,NA,8.5,8.5,لا شي,no,NA,NA,NA,NA,NA,NA,yes,yes,no,6,1.0,0.8,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,واش,yes,yes,no,0.25,2.5,10,تايد,yes,yes,yes,NA,7.0,7,بلاس,yes,yes,yes,NA,4.0,4,بريل,yes,yes,yes,NA,8.0,8,كريست,no,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,3.0,3,نانا,yes,yes,no,22,16.0,21.8,كام بيبي,vYh2dAEbuPAT4DaeKbjRK4,10737457,447c5316-477b-4b27-bec6-fe22b37252ac,2017-07-17T08:30:35,14
2017-07-15T17:36:07.748+02,2017-07-16T23:42:21.932+02,2017-07-15,West,LBY02,Sirt,LBY0201,Sirte,LBY020103,Sirte,سرت المركز,general_store,NA,yes,yes,yes,NA,1.0,1,لا شي,yes,yes,yes,NA,3.0,3,الشمال,yes,yes,yes,NA,1.25,1.3,الرفيع,yes,yes,yes,NA,3.0,3,الاسرة,yes,yes,yes,NA,1.5,1.5,الاميرة,yes,yes,yes,NA,2.0,2,رندا,yes,yes,yes,NA,1.25,1.3,الايطالي برند,yes,yes,yes,NA,2.5,2.5,لارا,yes,yes,yes,NA,2.5,2.5,لوردفود,yes,yes,yes,NA,2.0,2,جودي,yes,yes,yes,NA,5.0,5,جودي,yes,yes,yes,NA,20.0,20,بيبي لاك,yes,yes,yes,NA,5.5,5.5,جوهرة,yes,yes,yes,NA,8.0,8,الزهرة,yes,yes,yes,NA,3.0,3,المنارة,yes,yes,yes,NA,3.0,3,الباهي,yes,yes,yes,NA,6.0,6,لاشي,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,yes,yes,no,6,1.0,0.8,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,yes,yes,NA,1.0,1,واش,yes,yes,yes,NA,10.0,10,تايد,yes,yes,yes,NA,7.0,7,بلاس,yes,yes,yes,NA,4.0,4,برل,yes,yes,yes,NA,8.0,8,كرست,yes,yes,yes,NA,1.5,1.5,Morning fresh,yes,yes,yes,NA,3.0,3,نانا,yes,yes,yes,NA,17.0,17,المنصوري,vYh2dAEbuPAT4DaeKbjRK4,10737487,56142c4e-56f8-4f13-9fd9-5eb52affaef1,2017-07-17T08:31:27,15
2017-07-10T23:45:17.729+02,2017-07-10T23:48:09.701+02,2017-07-10,West,LBY02,Nalut,LBY0202,Nalut,LBY020205,Nalut,نالوت,butcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,11.75,11.8,لاشيء,yes,yes,yes,NA,28.0,28,لاشيء,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vYh2dAEbuPAT4DaeKbjRK4,10565638,5a1b8606-6d55-45c5-a8e5-dabeba1e2ba1,2017-07-10T21:48:18,70
